year,ct.new_deaths,ct.new_infections,ct.n_infected
2000,2.1149548930625106,236837.16040575446,169252.6808460125
2001,2.4043824143384027,240714.93334011128,171869.2448947581
2002,2.648006371353799,245864.86494276082,175277.90507008383
2003,2.850578581573627,252151.80521281273,179435.1856864516
2004,2.9973066059594373,258298.82131064765,183499.33853654002
2005,3.064836966217119,263100.62507940736,186710.7460200609
2006,3.111494641892763,266977.98966506263,189338.41389936808
2007,3.019014615278424,273233.2300384146,193641.24077957263
2008,3.2790488246734415,275726.52673024766,195329.71968204668
2009,3.332126722904845,278543.6871586403,197300.82352976993
2010,3.250042518875622,282160.79567511135,199910.65296051383
2011,3.132304943532479,286207.9125934,202911.29484795907
2012,3.038208002647683,290391.88930643984,206082.0887072891
2013,2.9501420556532167,291617.92667889246,207239.11797278718
2014,2.9749352689943285,293141.5201446049,208639.53332626534
2015,3.009745271780772,294685.31914526434,210066.99800134517
2016,3.0683117907743727,296457.3571715804,211708.43007482914
2017,3.0726424755300763,298873.6919115384,213874.98520484247
2018,3.177208789991737,302240.41899588826,216677.68857232458
2019,3.2688597833677373,306592.7767625886,220119.57066754016
2020,3.3073923238036125,313717.45569886925,225217.37958673298
2021,3.3949615068703345,318094.8446511755,229431.54068874754
2022,3.4890359248284657,324596.11139301717,234159.93077089917
2023,3.5191092722924515,330723.4277007364,238414.2025276491
2024,3.559095577407232,337680.4113746408,243202.2992676147
2025,3.6108937807915127,346996.5455850841,249577.85494729658
2026,3.6807496882833908,356678.9785486107,256179.3005650787
2027,3.733263181848093,366359.4026601555,262711.098270471
2028,3.783642202953093,376659.80978986126,269547.12394527183
2029,3.8306974233911517,387339.6472304856,276531.8911862176
2030,3.878251311409181,398315.36110346584,283700.87599977636
2031,3.915248514311987,409150.29799729557,290759.84608623426
2032,3.9363033480745746,419796.0051021184,297763.40697502944
2033,3.9629804695983677,431010.3064734002,305301.2734664892
2034,3.985586429412312,442255.31596295576,312884.4213062985
2035,4.01834615877924,453020.5094131849,320082.2818406644
2036,4.042737334643664,463739.9437375859,327285.21873715223
2037,4.072488001935642,473782.94314046134,334024.8342618206
2038,4.096998412181178,483992.4749535462,340911.0327624414
2039,4.123402444813845,493990.91874968255,347767.76513880497
2040,4.13831780965634,503644.4804231176,354388.6338999617
2041,4.162895507677793,513194.2955874585,361015.5052596705
2042,4.181556466091363,522933.3873956375,367782.31646850327
2043,4.211225831075623,532139.3035507123,374142.37708886544
2044,4.242647093206143,541633.0606650285,380714.2675147802
2045,4.271475935895822,550451.1649429245,386772.2711518013
2046,4.3074267248968345,559464.7913858807,392889.0517311181
2047,4.354383256032488,568315.3387279295,398868.98204594845
2048,4.405272030094919,576996.5438390984,404768.0545237061
2049,4.458357243300066,585795.0180892509,410748.9405830227
2050,4.506700844800426,594298.237900728,416545.9732353267
