year,ng.new_deaths,ng.new_infections,ng.n_infected
2000,1.8050970023243298,303948.9645613334,133038.13430663737
2001,1.9363108961283986,309130.7608655123,135296.65463703248
2002,2.049579082933139,314495.0762468703,137613.2789439682
2003,2.146153383381409,318973.17570543225,139513.84550705474
2004,2.224424087098796,322340.6020724259,140920.19050618834
2005,2.2792150081121,324015.0825923529,141602.41503913957
2006,2.3090887144858514,324513.4459608279,141921.38801578473
2007,2.2843552273693755,327068.544998679,143314.23879356316
2008,2.444855017132587,325319.2054983538,142923.50106272293
2009,2.4663107947068874,323000.01033084845,142212.23522925278
2010,2.4157435063701,320885.96694214805,141428.49744318964
2011,2.3195557595043685,318657.9829558502,140517.88489067453
2012,2.2338943653597156,316422.0214739152,139664.01554914095
2013,2.162308168987323,313154.7512278889,138421.29322616107
2014,2.157065216890133,310053.5189651706,137244.67029390213
2015,2.171290008707897,308106.05342606176,136541.19836808325
2016,2.205862395487811,307182.9134329686,136197.852883454
2017,2.2050616864858945,307363.5933154245,136262.81859304616
2018,2.245423587155671,309849.4250883143,137282.0010234086
2019,2.266980609417062,314758.67612294725,139454.11998286852
2020,2.2709239388332234,321611.60440876044,142838.24570916404
2021,2.2821695903410966,332127.05359564896,147874.4351322613
2022,2.298625709808578,331581.5850578851,148024.6408342256
2023,2.248134418992696,329288.09928653174,147357.987677235
2024,2.2091288634906348,326971.5279845388,146531.00415066516
2025,2.191480194197955,327595.46042196197,147010.40542201695
2026,2.1821989320899817,327205.4578851586,147097.33067605685
2027,2.166202381863391,326579.9202546968,147040.80527799367
2028,2.146140389215729,326276.1781395959,147001.92126933634
2029,2.1355399793819365,324184.0681173709,146326.19819260805
2030,2.1304854005799134,321307.3084436559,145453.10617692184
2031,2.1145861420533243,315792.9719443582,143361.42418271644
2032,2.0974124423733476,310848.960098443,141288.84590771355
2033,2.0870470543466166,304731.98760694434,138931.47934787459
2034,2.0765603043515752,296610.78061979864,135830.96253890902
2035,2.0803926993315365,289970.21994074126,133262.03500480313
2036,2.0772399697346944,281908.26137355453,129999.54043566878
2037,2.0815286434339257,275010.186142625,127235.01517751605
2038,2.088056080684233,266727.47659968166,123973.99834178248
2039,2.1051357140744917,259544.91635272166,121307.20816423057
2040,2.116229990391586,252137.38952866284,118271.04740920842
2041,2.134676667415941,245817.72081210054,115775.76619483375
2042,2.1474840576865866,238652.79863352526,112861.79177164324
2043,2.1725525632385554,232579.11348677136,110562.05307692167
2044,2.1946420869382535,226686.84923856732,108239.50527438088
2045,2.218782589138897,221009.86263866103,106017.9653050351
2046,2.2463211303947994,216267.869158516,104221.12342446567
2047,2.2735937692858985,211401.68401682106,102329.49094958858
2048,2.296437620412434,205292.40401656966,99922.84956888032
2049,2.3251499211096385,200602.41063093426,98065.96148687582
2050,2.3527311598251885,195971.0808474301,96009.88738769319
